system_id,system_name,t2_us,t1_us,temperature_k,noise_level,target_phenomenology,winner_strategy,robustness_gain_percent,p3_robustness,p4_robustness,geometric_phase_rad,p3_variance_r,p4_variance_r
NV-298K,NV Center Room Temp,1.8,5000.0,298.0,0.15,uniform,P4,67.82929,2.3546014e-05,7.5749194e-06,0.05771329945180232,1.0529933e-05,1.0483238e-05
NV-77K,NV Center Cryogenic,350.0,8000.0,77.0,0.02,uniform,P4,67.82929,2.3546014e-05,7.5749194e-06,0.05771329945180232,1.0529933e-05,1.0483238e-05
RP-Cry4,Radical Pair Cryptochrome,0.8,50.0,310.0,0.25,uniform,P4,100.0,2.3546014e-05,0.0,0.0385936985996478,1.0529933e-05,1.05689005e-05
SiC-VSi-Cryo,Silicon Carbide VSi Defect,800.0,12000.0,4.0,0.008,uniform,P4,67.82929,2.3546014e-05,7.5749194e-06,0.05771329945180232,1.0529933e-05,1.0483238e-05
SiC-VSi-RT,Silicon Carbide VSi Room Temp,12.0,6000.0,295.0,0.12,uniform,P4,67.82929,2.3546014e-05,7.5749194e-06,0.05771329945180232,1.0529933e-05,1.0483238e-05
